"Cam_ID","Position","Date","#","Pot_ID","Xmin","Xmax","Ymin","Ymax"
"Cam_1_1","1_1_P2","21/04/2020",1,"4AL",0.14,0.26,0.19,0.33
"Cam_1_1","1_1_P2","21/04/2020",2,"10AL",0.26,0.38,0.19,0.33
"Cam_1_1","1_1_P2","21/04/2020",3,"9TT",0.42,0.54,0.16,0.3
"Cam_1_1","1_1_P2","21/04/2020",4,"1CD",0.56,0.68,0.17,0.31
"Cam_1_1","1_1_P2","21/04/2020",5,"11CR",0.71,0.83,0.17,0.31
"Cam_1_1","1_1_P2","21/04/2020",6,"6BM",0.12,0.23,0.34,0.47
"Cam_1_1","1_1_P2","21/04/2020",7,"4DS",0.25,0.38,0.29,0.43
"Cam_1_1","1_1_P2","21/04/2020",8,"2BM",0.4,0.52,0.31,0.44
"Cam_1_1","1_1_P2","21/04/2020",9,"10DS",0.57,0.69,0.33,0.47
"Cam_1_1","1_1_P2","21/04/2020",10,"6TT",0.71,0.83,0.33,0.47
"Cam_1_1","1_1_P2","21/04/2020",11,"6CT",0.12,0.23,0.51,0.66
"Cam_1_1","1_1_P2","21/04/2020",12,"9CR",0.26,0.38,0.51,0.66
"Cam_1_1","1_1_P2","21/04/2020",13,"5AL",0.42,0.54,0.51,0.66
"Cam_1_1","1_1_P2","21/04/2020",14,"1CR",0.58,0.7,0.51,0.66
"Cam_1_1","1_1_P2","21/04/2020",15,"1CT",0.72,0.85,0.51,0.66
"Cam_1_1","1_1_P2","21/04/2020",16,"9CD",0.09,0.21,0.72,0.86
"Cam_1_1","1_1_P2","21/04/2020",17,"4TT",0.23,0.35,0.72,0.86
"Cam_1_1","1_1_P2","21/04/2020",18,"11DS",0.4,0.52,0.72,0.86
"Cam_1_1","1_1_P2","21/04/2020",19,"9BM",0.57,0.69,0.72,0.86
"Cam_1_1","1_1_P2","21/04/2020",20,"10CD",0.72,0.85,0.68,0.82
"Cam_1_1","1_1_P2","22/04/2020",1,"4AL",0.14,0.26,0.19,0.33
"Cam_1_1","1_1_P2","22/04/2020",2,"10AL",0.26,0.38,0.19,0.33
"Cam_1_1","1_1_P2","22/04/2020",3,"9TT",0.42,0.54,0.16,0.3
"Cam_1_1","1_1_P2","22/04/2020",4,"1CD",0.56,0.68,0.17,0.31
"Cam_1_1","1_1_P2","22/04/2020",5,"11CR",0.71,0.83,0.17,0.31
"Cam_1_1","1_1_P2","22/04/2020",6,"6BM",0.12,0.23,0.34,0.47
"Cam_1_1","1_1_P2","22/04/2020",7,"4DS",0.25,0.38,0.29,0.43
"Cam_1_1","1_1_P2","22/04/2020",8,"2BM",0.4,0.52,0.31,0.44
